,brands,flavors,characteristics,text
0,,,без сахара,энергетик без сахара
1,,,из рубца,салат из рубца
2,барилла,,,барилла
3,,,"краска для волос, ореховый",краска для волос орех
4,,творожный,,творог мя
5,,,,масло детское
6,,,холодец,холодец э
7,,,эсте,чипсы эсте
8,следки,,мужские,следки мужские
9,,,,котлеты охлажденное
10,,шоколадный,палочки,палочки шокола
11,домашняя,,,лапша домашняя
12,,попкорн,,поппкорн
13,,шоколадный,протеиновый,шоколад протеиновы
14,растров,,для линз,растров для линз
15,Duluth,,,duluth
16,Черкашин,,"плавные, солодо-сладкие",черкашин
17,,корм для котят,для кошек,корм для котят
18,,,не имеет вкуса,туал
19,,,бриошь,бриошь
20,,сыр,печенье,сырок с печенье
21,,шпинатный,,шпинатные
23,Go,,овесные,го овые
24,,готовая еда,,готовая едаз
25,,,без жира,салаты без жира
26,самокат,,круассан,круассан самокат
27,,,ром,ром до
28,,сливочное,,творожный сыр сливочное
29,,пузырчатая пленка,,пузырчатая пленка
30,,тушеная,сновидения,тушенка снов
31,,сгущённая малака,,сгушонная малако
32,,,,вязания
33,,,,нашуники
34,,,масло 82,масло 82
35,,"розовый, голубой",,розовый и голубой бургер
36,Grands,,"белый хлеб, пшеничный",grands
37,кока-кола,кола,а4,кока кола а4
38,соломка,,"не имеет явных вкусовых нот или специфических характеристик, поскольку это просто солома",соломка ка
39,,,дрова для мангала,дрова для мангала
40,,кислой,,кисломи
41,,форель,,форель у
42,,,"электрическая, для воды",помпа для воды электрическая
43,Шима,,неизвестен,шима
44,белла,,,прокладка белла
45,,,,тапки
46,кутба,,,кутба
47,соломкс,,"сладость солодка, хрустящие кукурузные шоколадчики",соломкс
48,,,традиционное японское блюдо,но онигири
49,,помидорный,,помидорки черри
50,кокт,,"алкогольный дистиллят, коктейль на основе виски, содержит много алкоголя",кокт
51,капто,,,капто
52,,тертый,,тертые
53,,панировочные,сухарики для ка,панировочные сухарики для ка
54,даниссимо,,,даниссимо ими
55,голень,,,голень
56,пергма,,не имеет определенного вкуса (не содержит добавок для придания вкусовых нот),пергма
57,сулугуни,,,сулугуни
58,,креветковый,,креветки.
59,,,,ольхи
60,баэ,,,баэ
61,,,,паук и
62,,,,про простуде
63,,,тампоны,тампоны
64,pure,,контактные,линзы контактные pure
65,Селикон,,смазка,селиконовая смазка
66,маздас,,,сыр маздас
67,,,из беларуси,продукты из беларуси
68,,куриная,,куриная
69,,вкусный,,вкусный день
70,Мульти,злаковый,,мультизлаков
71,Ростиб,,,ростиб
72,,корица,,улитка  с корицей
73,,,,тональный
75,,,,том с авокадо
77,фрутоняня,нв,,фрутоняня нв
78,мист,,,мист
79,плот,,плов,плову
80,вэлком,,,вэлком
81,,ароматический,диффузор,ароматический диффузор
82,rich,,,rich
83,,мармелад,,мармелад для сыра
84,,творожный,,твороженныйсвр
85,,,мука и рисовая,мука и рисовая
86,шароли,,,шароли
87,кокороз,,,кокороз
88,,,для кофемашины,капсулы для кофемашины
89,айкос,,,айкос
90,,,пластиковая ложь,пластиковая лож
91,,чери,томаты,черри томаты
92,эйо,югорт,,эйогурт
93,эвервеч,,,эвервеч
94,мини,желтковый,,мини желтки
95,,,"женская, станки",женская станки
96,,из фруктов,детский,детский мармелад из фруктов
97,оргонай,,,оргонай
98,челночек,,,челночек
99,,,,pici
100,,сырокопченые,,сырокопченые колбасы
101,персик,персиковый,8,персик⁸
102,коль,,артisanal crackers,коль ар
103,череизов,,,череизов
104,,майонезный,,соус майо
105,,,крючки,крючки д
106,мацонии,,итальянский солодок,мацонии
107,,,шарики,шарики для сти
108,,с шпина,,с шпина
109,чайлипто,,,чайлипто
110,,,стиральный,стиральный же
111,искусства,,,икра искусств
112,,без специй,сухари,сухари без специй
113,,вкусное,,вкусное мороженное
114,exponenta,,,йогурт exponenta
115,йошкар олинская,тушенка,,йошкар олинская тушенка
116,,плавленный,для бургеров,сыр плавленный для бургеров
117,mac,608,,mac 608
118,дестская,,,каша дестская
119,,клубничный,,клубникю
120,,детская,,детская смесь
121,,,"авиационный, поставляется в виде кусочков",arrive
122,,,,клюшка
123,h&m,,,h m
124,,,,прокладки
125,,"сырный, масляный",,сыр масло
126,,,,безлаткозы
127,таор,,,таор
128,,морженое,,щербетмороженное
129,,,зубная щетка,щетка зубная
130,ножик,,канцелярский,ножик канцелярский
131,,копченый,,копчн
132,,коOKIES,хрустящие,cookies
133,,,,шапочка
134,brit,,хрустящие,brit
135,,,круассан,круасс
136,,пицца,,пицца
137,Himalaya Herbals,,,himalaya herbals
138,,,"для детей, бутылочки",бутылочки для детей
