query,cluster,type,n_chars,n_tokens,mean_tok_len,frac_latin,frac_digit,frac_vowel,max_char_run,dict_coverage,mean_edit_dist,oddness
энергетик без сахара,7,норма · фраза,20,3,6.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,6.8645443097051215
салат из рубца,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,6.21759214690791
барилла,4,норма · удвоенная буква,7,1,7.0,0.0,0.0,0.42857142857142855,2,1.0,0.0,5.836807161761025
краска для волос орех,7,норма · фраза,21,4,4.5,0.0,0.0,0.3888888888888889,1,1.0,0.0,5.884998314763572
творог мя,9,фраза с искажением,9,2,4.0,0.0,0.0,0.375,1,0.5,0.3333333333333333,6.0662376456094655
масло детское,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.243764236702338
холодец э,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.5,1,1.0,0.0,7.480238109059093
чипсы эсте,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.4444444444444444,1,1.0,0.0,7.373838682378802
следки мужские,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.38461538461538464,1,1.0,0.0,5.866063234962271
котлеты охлажденное,4,норма · удвоенная буква,19,2,9.0,0.0,0.0,0.4444444444444444,2,1.0,0.0,6.125097651779375
палочки шокола,9,фраза с искажением,14,2,6.5,0.0,0.0,0.46153846153846156,1,0.5,0.14285714285714285,5.649689992588462
лапша домашняя,4,норма · удвоенная буква,14,2,6.5,0.0,0.0,0.46153846153846156,2,1.0,0.0,6.565322283266856
поппкорн,10,искажённое слово · вставки/удвоения,8,1,8.0,0.0,0.0,0.25,2,0.0,0.125,6.412865930959629
шоколад протеиновы,5,норма · длинные слова,18,2,8.5,0.0,0.0,0.47058823529411764,1,0.5,0.09090909090909091,6.012648217467919
растров для линз,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.2857142857142857,1,1.0,0.0,6.451903312252944
duluth,0,латиница,6,1,6.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
черкашин,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.375,1,1.0,0.0,6.236793282175421
корм для котят,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.551428947112304
туал,2,искажённое слово,4,1,4.0,0.0,0.0,0.5,1,0.0,0.3333333333333333,6.307176782714487
бриошь,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.849858798249188
сырок с печенье,1,норма · 2 слова,15,3,4.333333333333333,0.0,0.0,0.38461538461538464,1,1.0,0.0,5.97445724478161
шпинатные,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.711905075657797
свой у,1,норма · 2 слова,6,2,2.5,0.0,0.0,0.4,1,1.0,0.0,7.05236793336057
го овые,9,фраза с искажением,7,2,3.0,0.0,0.0,0.6666666666666666,1,0.5,0.3333333333333333,5.671803818306411
готовая едаз,9,фраза с искажением,12,2,5.5,0.0,0.0,0.5454545454545454,1,0.5,0.25,6.222808028229932
салаты без жира,1,норма · 2 слова,15,3,4.333333333333333,0.0,0.0,0.46153846153846156,1,1.0,0.0,6.119915698831092
круассан самокат,4,норма · удвоенная буква,16,2,7.5,0.0,0.0,0.4,2,1.0,0.0,5.757261295478198
ром до,1,норма · 2 слова,6,2,2.5,0.0,0.0,0.4,1,1.0,0.0,6.68303445652337
творожный сыр сливочное,7,норма · фраза,23,3,7.0,0.0,0.0,0.38095238095238093,1,1.0,0.0,5.64281957532387
пузырчатая пленка,5,норма · длинные слова,17,2,8.0,0.0,0.0,0.4375,1,1.0,0.0,6.684758121092677
тушенка снов,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,5.903402754551078
сгушонная малако,10,искажённое слово · вставки/удвоения,16,2,7.5,0.0,0.0,0.4666666666666667,2,0.0,0.25,6.0197427447650895
вязания,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.5714285714285714,1,1.0,0.0,5.898693734241091
нашуники,2,искажённое слово,8,1,8.0,0.0,0.0,0.5,1,0.0,0.25,6.109536872468507
масло 82,8,запрос с числом,8,1,5.0,0.0,0.25,0.4,1,1.0,0.0,5.468233046144761
розовый и голубой бургер,7,норма · фраза,24,4,5.25,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.866960864114157
grands,0,латиница,6,1,6.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
кока кола а4,1,норма · 2 слова,12,3,3.0,0.0,0.08333333333333333,0.5555555555555556,1,1.0,0.0,5.463120254991429
соломка ка,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.3844707367483675
дрова для мангала,7,норма · фраза,17,3,5.0,0.0,0.0,0.4,1,1.0,0.0,5.8613312947164005
кисломи,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.2222222222222222,5.3522857141641085
форель у,1,норма · 2 слова,8,2,3.5,0.0,0.0,0.42857142857142855,1,1.0,0.0,7.470231110338339
помпа для воды электрическая,7,норма · фраза,28,4,6.25,0.0,0.0,0.44,1,1.0,0.0,6.431453204709612
шима,2,искажённое слово,4,1,4.0,0.0,0.0,0.5,1,0.0,0.4,6.131635915512613
прокладка белла,4,норма · удвоенная буква,15,2,7.0,0.0,0.0,0.35714285714285715,2,1.0,0.0,5.794896954191069
тапки,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.813881347813781
кутба,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.3333333333333333,6.241495237575784
соломкс,2,искажённое слово,7,1,7.0,0.0,0.0,0.2857142857142857,1,0.0,0.14285714285714285,5.864065991611225
но онигири,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.5555555555555556,1,1.0,0.0,5.9185231974697565
помидорки черри,4,норма · удвоенная буква,15,2,7.0,0.0,0.0,0.42857142857142855,2,0.5,0.2,5.963280022430903
кокт,2,искажённое слово,4,1,4.0,0.0,0.0,0.25,1,0.0,0.25,5.199948629924878
капто,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.3333333333333333,5.5623283882081225
тертые,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.5,1,1.0,0.0,5.197317177100693
панировочные сухарики для ка,7,норма · фраза,28,4,6.25,0.0,0.0,0.48,1,1.0,0.0,5.5850348390390625
даниссимо ими,4,норма · удвоенная буква,13,2,6.0,0.0,0.0,0.5,2,1.0,0.0,6.163334310149761
голень,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.647785124998836
пергма,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.3333333333333333,6.412223387231649
сулугуни,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.5,1,1.0,0.0,6.293039222651585
креветки.,3,норма · 1 слово,9,1,8.0,0.0,0.0,0.375,1,1.0,0.0,5.463093354701037
ольхи,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,7.086796320854634
баэ,2,искажённое слово,3,1,3.0,0.0,0.0,0.6666666666666666,1,0.0,0.3333333333333333,8.101306276269174
паук и,1,норма · 2 слова,6,2,2.5,0.0,0.0,0.6,1,1.0,0.0,5.702819484697327
про простуде,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,5.4516629494755335
тампоны,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.558291788820934
линзы контактные pure,7,норма · фраза,21,3,6.333333333333333,0.21052631578947367,0.0,0.4,1,1.0,0.0,6.206773735882485
селиконовая смазка,5,норма · длинные слова,18,2,8.5,0.0,0.0,0.47058823529411764,1,0.5,0.09090909090909091,5.429082117554039
сыр маздас,9,фраза с искажением,10,2,4.5,0.0,0.0,0.3333333333333333,1,0.5,0.3333333333333333,5.934668641911985
продукты из беларуси,7,норма · фраза,20,3,6.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,6.262301126777328
куриная,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.5714285714285714,1,1.0,0.0,5.189860307627544
вкусный день,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.2727272727272727,1,1.0,0.0,6.334257682668088
мультизлаков,2,искажённое слово,12,1,12.0,0.0,0.0,0.3333333333333333,1,0.0,0.14285714285714285,6.081111303812061
ростиб,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.2857142857142857,5.893035300346874
улитка  с корицей,4,норма · удвоенная буква,17,3,4.666666666666667,0.0,0.0,0.42857142857142855,2,1.0,0.0,5.6414325808037695
тональный,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.297727453535944
пилки для,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,5.584955016366323
том с авокадо,1,норма · 2 слова,13,3,3.6666666666666665,0.0,0.0,0.45454545454545453,1,1.0,0.0,5.923240030449128
брови,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.390228880235475
фрутоняня нв,9,фраза с искажением,12,2,5.5,0.0,0.0,0.36363636363636365,1,0.5,0.5,7.181035067291769
мист,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.25,1,1.0,0.0,5.620723528280353
плову,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,6.430272411025175
вэлком,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.16666666666666666,7.033941652722787
ароматический диффузор,4,норма · удвоенная буква,22,2,10.5,0.0,0.0,0.42857142857142855,2,1.0,0.0,6.583472471512921
rich,0,латиница,4,1,4.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
